#CFlux-bond j parameters. Unit: e/A
cflux-b      0.12183          OH       C3O1R5
cflux-b      0.00050      OP-est          C3*
cflux-b      0.00000        C3R5       C3O1R5
cflux-b      0.00035      C3O1R5          C3*
cflux-b      0.10323         O=C        CHO-2
cflux-b      0.00000       CHO-2        CHO-2
cflux-b     -0.00052       CHO-2           HC
cflux-b      0.00045         C3*          C2C
cflux-b     -0.00000      C-Bket          CHO
cflux-b      0.04002        CCl1          C3*
cflux-b     -0.05249        CBr1          C3*
cflux-b      0.06098        CCl1         CCl1
cflux-b     -0.00243        CBr1         CBr1
cflux-b     -0.02759       N3C=N           H+
cflux-b      0.21623       O-est        CO=OC
cflux-b     -0.05181         C3*          C1C
cflux-b     -0.34792       C3O1R        C3O1R

#CFlux-Angle j parameters. Unit: e/degree (jtheta) and e/A (jb')
cflux-a       0.00199   0.00199     -0.04534     -0.04534         HW          OW           HW 
cflux-a       0.00067   0.00067      0.00104      0.00104         HC         C34           HC
cflux-a       0.00121   0.00121     -0.00003     -0.00003         HN        N3H3           HN
cflux-a       0.00005   0.00228     -0.01712      0.00282         HC         C3*           N3
cflux-a       0.00124   0.00124     -0.00422     -0.00422         HC         C3*           HC
cflux-a       0.00225  -0.00091     -0.00226     -0.06371         HO          OH          C3*
cflux-a       0.00155   0.00059     -0.00507      0.00896         OH         C3*           HC
cflux-a       0.00192  -0.00003     -0.00030     -0.00051         HC         C3*          CON
cflux-a       0.00310   0.00067     -0.00588     -0.00574        C3*         CON          O=C
cflux-a       0.00313  -0.00099      0.00692     -0.00135        C3*         CON         NC=O
cflux-a      -0.00095  -0.00281     -0.00678      0.09890        O=C         CON         NC=O
cflux-a      -0.00246   0.00177      0.05810      0.02623        CON        NC=O           HN
cflux-a       0.00157   0.00211      0.01818     -0.00025        CON        NC=O          C3*
cflux-a       0.00001  -0.00057      0.01359      0.00495         HN        NC=O          C3*
cflux-a      -0.00092   0.00457     -0.01761      0.04775       NC=O         C3*           HC
cflux-a       0.00100   0.00649      0.00431      0.00017       CO=O         C3*           HC
cflux-a      -0.00098   0.00315     -0.06296      0.00283        O=C        CO=O          OCO
cflux-a       0.00021   0.00092     -0.02999     -0.02509        O=C        CO=O          C3*
cflux-a      -0.00566  -0.00030     -0.00303     -0.06370       CO=O         OCO           HO
cflux-a       0.00078   0.00248     -0.04338     -0.05754        OCO        CO=O          C3*
cflux-a      -0.00232  -0.00232     -0.04743     -0.04743         HN        NC=O           HN
cflux-a       0.00638   0.00594      0.06092     -0.03286      n2c=O     c=On1n1         nc=O
cflux-a      -0.00052   0.00066     -0.02701     -0.04703      n2c=O       c=On1         ccco
cflux-a      -0.00619  -0.00092      0.00037     -0.17905      n2c=O     c=On1n1          Oar
cflux-a       0.00213  -0.00079      0.12709     -0.19433      n2c=O       c=On1          Oar
cflux-a       0.00263  -0.00050      0.00575     -0.00732      c=On1       n2c=O      c=On1n1
cflux-a      -0.01126  -0.01030      0.01991      0.00097         Hn       n2c=O        c=On1
cflux-a       0.00020   0.00651      0.09942     -0.06400      c=On1        ccco        c1cn1
cflux-a      -0.00095  -0.00157      0.01341      0.00064      c=On1        ccco           Hc
cflux-a       0.00397  -0.00014      0.04105     -0.00010         Hc        ccco        c1cn1
cflux-a       0.00047  -0.00440      0.02296     -0.00301         Hn       n2c=O      c=On1n1
cflux-a       0.00033  -0.00598     -0.16026      0.02546        Oar       c=On1         ccco
cflux-a       0.00549   0.00870      0.00662     -0.18228       nc=O     c=On1n1          Oar
cflux-a       0.01103   0.01163     -0.02728      0.01351       ccco       c1cn1           Hc
cflux-a       0.00010   0.00642      0.04687      0.03895       ccco       c1cn1         nc=O
cflux-a       0.01572   0.01525      0.00620      0.00154         Hc       c1cn1         nc=O
cflux-a      -0.00476   0.00453     -0.00891      0.07330      c1cn1        nc=O           Hn
cflux-a       0.00325   0.00434     -0.00057      0.04770      c1cn1        nc=O      c=On1n1
cflux-a       0.00491  -0.00078      0.05684     -0.04209         Hn        nc=O      c=On1n1
cflux-a      -0.00144  -0.00144      0.00007      0.00007        ccn          n0          ccn
cflux-a      -0.00643  -0.00051     -0.02687      0.01247        ccn         car          car
cflux-a      -0.00160  -0.00408      0.01150     -0.04206         n0         ccn           Hc
cflux-a      -0.00029  -0.00059      0.01478     -0.00091         Hc         ccn          car
cflux-a      -0.00039  -0.00039      0.05735      0.05735        car         car          car
cflux-a       0.00026   0.00363      0.03255      0.00007         n0         ccn          car
cflux-a       0.00035   0.00228      0.03140      0.02036         Hc         car          car
cflux-a       0.00424  -0.00088     -0.02488      0.00490        ccn         car           Hc
cflux-a      -0.00092  -0.00135     -0.00076     -0.00008        C2C         C2C           HC
cflux-a       0.00243   0.00243      0.00217      0.00217         HC         C2C           HC
cflux-a      -0.00155  -0.00155      0.00476      0.00476        C3*         C3*          C3*
cflux-a      -0.00098   0.00016     -0.00100     -0.00346         HC         C3*          C3*
cflux-a      -0.00030  -0.00030      0.00046      0.00046       C3R5        C3R5         C3R5
cflux-a       0.00064   0.00076     -0.01345     -0.01320       C3R5        C3R5           HC
cflux-a       0.00100   0.00100     -0.00082     -0.00082         HC        C3R5           HC
cflux-a       0.00023   0.00088      0.00067     -0.00334        C3*          S3           HS
cflux-a      -0.00020   0.00022     -0.00417      0.00213         S3         C3*           HC
cflux-a       0.00026   0.00026     -0.01044     -0.01044        C3*          S2          C3*
cflux-a       0.00142  -0.00069      0.00267     -0.00146        C3*          S2          O=S
cflux-a       0.00228   0.00035     -0.01408     -0.00004         S2         C3*           HC
cflux-a       0.00435  -0.00554     -0.09199     -0.20033          F         car          car
cflux-a       0.00497  -0.00427     -0.01203     -0.02606         Cl         car          car
cflux-a       0.00632  -0.00335     -0.01900     -0.05803         Br         car          car
cflux-a      -0.00039  -0.00039     -0.00195     -0.00195        C3*         SC2          C3*
cflux-a       0.00091   0.00045      0.00020      0.00427        SC2         C3*           HC
cflux-a       0.00010  -0.00001      0.00345     -0.00721    c1cn1r5         ccn           n0
cflux-a       0.00090   0.00066      0.00145      0.00006    c1cn1r5         ccn           Hc
cflux-a      -0.00397   0.00352      0.03035      0.00024        ccn     c1cn1r5           n1
cflux-a       0.00039  -0.00079     -0.02394     -0.04266        ccn     c1cn1r5           Hc
cflux-a       0.00000   0.00056      0.00010      0.00038         n1     c1cn1r5           Hc
cflux-a      -0.00429  -0.00839     -0.00012      0.00564    c1cn1r5          n1       cnn1r5
cflux-a       0.00274  -0.00100     -0.00024      0.00031    c1cn1r5          n1           Hn
cflux-a       0.00193  -0.00085      0.00168      0.02494     cnn1r5          n1           Hn
cflux-a       0.00399  -0.00105      0.02374     -0.00087         n1      cnn1r5           n0
cflux-a       0.00097   0.00061     -0.00023      0.00037         n1      cnn1r5           Hc
cflux-a      -0.00078  -0.00358     -0.00303      0.00050         n0      cnn1r5           Hc
cflux-a       0.00050  -0.00353      0.01739     -0.04726        ccn          n0       cnn1r5
cflux-a       0.00328   0.00328     -0.00057     -0.00057     C3R5N1         N3R       C3R5N1
cflux-a      -0.00070   0.00617     -0.00023     -0.00095     C3R5N1         N3R           HN
cflux-a      -0.00066   0.00017      0.00060      0.00074        N3R      C3R5N1         C3R5
cflux-a       0.00790   0.00932      0.00089     -0.00093        N3R      C3R5N1           HC
cflux-a      -0.00020  -0.00330      0.00696     -0.02979       C3R5      C3R5N1           HC
cflux-a       0.00285   0.00285     -0.00082     -0.00082         HC      C3R5N1           HC
cflux-a       0.00025   0.00025     -0.00061      0.00036     C3R5N1        C3R5         C3R5
cflux-a       0.00034  -0.00031      0.00170      0.00053     C3R5N1        C3R5           HC
cflux-a       0.00052   0.00666     -0.16465     -0.07176        car         car        O-Phe
cflux-a       0.00036   0.01472      0.01812      0.00006        car       O-Phe           HO
cflux-a      -0.00093   0.00558      0.06794     -0.01039      c0cn1          n1      c1cn1r5
cflux-a       0.00089  -0.00041     -0.01162      0.11426      c0cn1          n1           Hn
cflux-a       0.00090  -0.00240      0.00279      0.00690        car         car         car0
cflux-a      -0.00024  -0.00037      0.00463      0.00260       car0         car           Hc
cflux-a      -0.00039  -0.00021      0.03524      0.00062        car         car       c-PryN
cflux-a       0.00082  -0.00521      0.01677     -0.00328     c-PryN         car           Hc
cflux-a      -0.00080  -0.00313     -0.04670      0.01547        car      c-PryN        c0cn1
cflux-a       0.00360  -0.00084     -0.01200     -0.02153        car      c-PryN           Hc
cflux-a       0.00436  -0.00055     -0.00744      0.03746      c0cn1      c-PryN           Hc
cflux-a       0.00051  -0.00032     -0.00121     -0.00154         n1       c0cn1       c-PryN
cflux-a      -0.00000   0.00005      0.00176     -0.00256         n1       c0cn1         car0
cflux-a       0.00096  -0.00166     -0.02947     -0.01500     c-PryN       c0cn1         car0
cflux-a       0.00045   0.00044     -0.03741     -0.00037        car        car0        c0cn1
cflux-a      -0.00331   0.00045      0.01500      0.00051        car        car0       c-PryN
cflux-a      -0.00052  -0.00334     -0.02465      0.04514      c0cn1        car0       c-PryN
cflux-a       0.00022   0.00045      0.01913     -0.04168       car0      c-PryN      c1cn1r5
cflux-a      -0.00340  -0.00028     -0.00031     -0.03980       car0      c-PryN           Hc
cflux-a      -0.00376  -0.00030     -0.00569     -0.00707    c1cn1r5      c-PryN           Hc
cflux-a       0.00026   0.00008      0.00003      0.03926         n1     c1cn1r5       c-PryN
cflux-a       0.00612  -0.00218     -0.00988     -0.00524     c-PryN     c1cn1r5           Hc
cflux-a       0.00093   0.00093      0.00082      0.00082          F         CF2            F
cflux-a       0.00262   0.00262     -0.00066     -0.00066         HC         CF2           HC
cflux-a       0.00390   0.00144     -0.02022     -0.02378          F         CF2           HC
cflux-a       0.00033   0.00033     -0.00070     -0.00070         Cl        CCl2           Cl
cflux-a       0.00121   0.00121      0.00022      0.00022         HC        CCl2           HC
cflux-a       0.00427   0.00156     -0.00122      0.00077         Cl        CCl2           HC
cflux-a       0.00032   0.00032     -0.00082     -0.00082         Br        CBr2           Br
cflux-a       0.00062   0.00062      0.00022      0.00022         HC        CBr2           HC
cflux-a       0.00408   0.00144     -0.00112      0.00083         Br        CBr2           HC
cflux-a       0.00314  -0.00065     -0.00468     -0.02197          F         C3*           HC
cflux-a       0.00204   0.00204      0.00027      0.00027         HC        CCl1           HC
cflux-a       0.00236   0.00075     -0.00339      0.00028         Cl        CCl1           HC
cflux-a       0.00149   0.00149      0.00036      0.00036         HC        CBr1           HC
cflux-a       0.00221   0.00041     -0.00437      0.00037         Br        CBr1           HC
cflux-a       0.00051   0.00152     -0.00156     -0.00046        O-P       PO4H1          O=P
cflux-a       0.00193   0.00193     -0.00004     -0.00004        O=P       PO4H1          O=P
cflux-a      -0.00220  -0.00245      0.00077      0.00358      PO4H1         O-P           HO
cflux-a       0.00319   0.00207     -0.00309     -0.00091        O=P       PO4H2          O-P
cflux-a      -0.00076  -0.00076      0.00022      0.00022        O=P       PO4H2          O=P
cflux-a       0.00341   0.00341     -0.00106     -0.00106        O-P       PO4H2          O-P
cflux-a       0.00044   0.00207      0.00098     -0.00247      PO4H2         O-P           HO
cflux-a       0.00353   0.00284     -0.00020     -0.00256        O-P       PO4H3          O=P
cflux-a       0.00314   0.00314     -0.01206     -0.01206        O-P       PO4H3          O-P
cflux-a      -0.00062   0.00159     -0.07081     -0.01092      PO4H3         O-P           HO
cflux-a       0.00088   0.00107      0.00049     -0.00779         H+          N4          C3*
cflux-a       0.00058   0.00058      0.00078      0.00078         H+          N4           H+
cflux-a       0.00039  -0.00117     -0.00667     -0.00050         N4         C3*           HC
cflux-a       0.00022  -0.00001      0.00000      0.00087       C2R5        C2R5         N3R5
cflux-a       0.00000  -0.00000     -0.00020     -0.00043       C2R5        C2R5           HC
cflux-a       0.00009   0.00010      0.00085     -0.00044       N3R5        C2R5           HC
cflux-a       0.00037  -0.00071     -0.00087      0.00054       C2R5        N3R5       C3N2R5
cflux-a      -0.00000  -0.00012      0.05214      0.09260       C2R5        N3R5           HN
cflux-a       0.00038   0.00029      0.00008      0.04391     C3N2R5        N3R5           HN
cflux-a      -0.00062  -0.00062     -0.00051     -0.00051       N3R5      C3N2R5         N3R5
cflux-a       0.00033  -0.00024      0.04170      0.03873       N3R5      C3N2R5           HC
cflux-a      -0.00051  -0.00051     -0.09862     -0.09862       N=C+          C+         N=C+
cflux-a       0.00022   0.00227      0.00217     -0.03723         C+        N=C+           H+
cflux-a      -0.00139  -0.00139      0.07065      0.07065         H+        N=C+           H+
cflux-a      -0.00061  -0.00494      0.03861     -0.07985      CO=O-         C3*           HC
cflux-a       0.00325  -0.00022      0.05736     -0.11723        C3*       CO=O-           O-
cflux-a      -0.00619  -0.00619      0.02572      0.02572         O-       CO=O-           O-
cflux-a      -0.00095  -0.00374     -0.00330     -0.01121         HC         C=N          N=C
cflux-a       0.01159   0.00467     -0.09402     -0.10394         HC         C=N        N3C=N
cflux-a      -0.00100  -0.00008     -0.03880      0.06541        N=C         C=N        N3C=N
cflux-a       0.00018   0.00402      0.12118     -0.00359        C=N         N=C           HN
cflux-a      -0.00226   0.00968      0.14033      0.02743        C=N       N3C=N           HN
cflux-a       0.00078   0.00078      0.05732      0.05732         HN       N3C=N           HN
cflux-a       0.00097   0.00018     -0.00014     -0.00067         HC         CON          O=C
cflux-a      -0.00094  -0.00094     -0.00082     -0.01819         HC         CON         NC=O
cflux-a      -0.00250  -0.00050      0.02764     -0.24169         HC        CO=O          O=C
cflux-a       0.00056   0.00763      0.06106     -0.14835         HC        CO=O          OCO
cflux-a       0.00089   0.00072      0.03694      0.00179        C3*         C3*           OH
cflux-a       0.00091  -0.00067      0.00003      0.00045       c0r5         C3*           HC
cflux-a      -0.00617   0.00035      0.00265      0.00037       c0r5        car0        c0cn1
cflux-a       0.00260  -0.00095     -0.02653      0.03787       c0r5        car0          car
cflux-a       0.00485   0.00024      0.01157     -0.01033        C3*        c0r5         car0
cflux-a       0.00173  -0.00317      0.00097      0.00424        C3*        c0r5      c1cn1r5
cflux-a       0.00749   0.00243     -0.00052     -0.02224       car0        c0r5      c1cn1r5
cflux-a      -0.00025  -0.00097      0.02825      0.01667       car0       c0cn1           n0
cflux-a      -0.00085   0.00080      0.04064      0.00668     c-PryN       c0cn1           n0
cflux-a      -0.00171   0.00027      0.00008     -0.01138       c0r5     c1cn1r5           n0
cflux-a       0.00862  -0.00093     -0.01264     -0.03046       c0r5     c1cn1r5           Hc
cflux-a       0.00580   0.00095     -0.00085      0.00696         n0     c1cn1r5           Hc
